topic0,zins,anleih,kredit,rendit,niedrig,spar,papi,laufzeit,anleg,darleh,staatsanleih,schuld,fallig,zin,investor,gunstig,zehnjahr,bond,langfrist,kondition,hoch,liegt,zinssatz,kapitalmarkt,volum,kurzfrist,finanzier,bundesanleih,angebot,risiko,betrag,rat,wert,biet,gering,verzins,kauf,anlag,sech,kapital,finanzi,je,lieg,vergleich,steig,verschuld,sollt,betragt,pfandbrief,entsprech,zahlt,prozentpunkt,wertpapi,ruckzahl,aktuell,attraktiv,summ,tilgung,acht,null,sieb,bietet,expert,begeb,verzin,erhoht,alternativ,bund,sparbuch,zuruckzahl,bonitat,nachfrag,effektiv,schuldn,garantiert,finanziert,angelegt,bekomm,bedeutet,steigt,durchschnitt,dah,bring,funfjahr,knapp,emission,ertrag,tagesgeld,einlag,kreditnehm,gelt,immobili,aufnehm,vorzeit,leih,beispiel,steigend,fest,seri,unternehmensanleih
 ,0.019,0.018,0.016,0.015,0.014,0.012,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic11,vw,mess,porsch,hannov,volkswag,audi,wolfsburg,ausstell,piëch,konz,frankfurt,niedersachs,veranstalt,besuch,braunschweig,stuttgart,expo,pressekonferenz,ingolstadt,stadl,ag,manag,thema,statt,mark,golf,tocht,hall,konzern,pischetsried,septemb,cebit,vertret,hart,aufsichtsrat,stand,seat,skoda,prasenti,messegesellschaft,findet,osterloh,fachmess,leipzig,volkert,europas,weltweit,prasentiert,weltausstell,bringt,famili,kommend,zusamm,se,messegeland,erstmal,autokonz,vorstand,ebenfall,autobau,erfolgreich,quadratmet,neb,potsch,betriebsrat,kaf,knapp,geschaftsfuhr,donnerstag,diess,autoherstell,sportwagenherstell,modell,zukunft,holding,geland,passat,zeig,stattfind,vorstandschef,entwickl,wohl,lauft,manipuliert,betriebsratschef,abgasaffar,ingenieur,eroffnet,huck,bleibt,sportwag,eroffn,herb,erwartet,oktob,beginn,stellt,them,gleich,iaa
 ,0.107,0.045,0.04,0.039,0.036,0.022,0.019,0.017,0.016,0.015,0.014,0.011,0.01,0.008,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic12,anleg,fond,akti,investor,investment,produkt,rendit,investi,investiert,zertifikat,anlag,hedg,verkauf,fondsgesellschaft,anbiet,risiko,fondsmanag,vermog,wert,immobilienfond,kurs,verlust,depot,vermogensverwalt,privatanleg,investmentfond,kauf,aktienfond,sollt,geschloss,immobili,kapital,wertpapi,geldanlag,risik,bors,spar,off,berat,anteil,etf,langfrist,management,branch,verkauft,beispielsweis,aktienmarkt,fund,verwaltet,genannt,institutionell,beispiel,best,gesellschaft,angelegt,expert,ertrag,dws,aktiv,setz,regel,papi,oft,privat,portfolio,einzeln,bestimmt,breit,biet,asset,riskant,schlecht,alternativ,kund,chanc,gering,manag,direkt,kleinanleg,pensionsfond,kapitalmarkt,strategi,erziel,angebot,geschaftsfuhr,haufig,index,indiz,rat,bvi,gerad,dah,sogenannt,aufgelegt,wertentwickl,ausschutt,rentenfond,mittlerweil,profiti,aktuell
 ,0.054,0.054,0.015,0.011,0.01,0.01,0.01,0.008,0.008,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic13,steu,rent,beitrag,einkomm,riest,arbeitnehm,rentn,rentenversicher,finanzamt,privat,gesetz,altersvorsorg,fiskus,besteuer,betrieb,steuerfrei,steuerzahl,niedrig,burg,abgab,beamt,steuersatz,zusatz,vermog,erhoh,belast,jahrlich,rentenreform,voll,steig,arbeitgeb,freibetrag,regel,steuerrecht,betrag,vorsorg,spar,geltend,einkunft,steuererklar,steuerpflicht,erbschaftsteu,besteuert,rentenkass,staatlich,ruhestand,berechn,gering,einkommensteu,zahlt,kost,gezahlt,rurup,pauschal,entlast,einnahm,beitragssatz,steuervorteil,leistung,rentenbeitrag,modell,versichert,betriebsrent,fallig,lohn,zulag,satz,profiti,erhoht,altersversorg,bundesregier,bfh,pro,beispiel,versteu,steuerberat,rentenalt,absetz,vorteil,gefordert,bundesfinanzministerium,eingefuhrt,dadurch,belastet,bundesfinanzhof,januar,selbstand,einzahl,pension,bleibt,beitragszahl,kompliziert,reform,sozialversicher,durchschnitt,gesetzgeb,steigt,steuerlast,gleich,berucksichtigt
 ,0.039,0.033,0.013,0.012,0.011,0.01,0.01,0.01,0.009,0.009,0.008,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic14,washington,obama,clinton,republikan,bush,demokrat,kongress,haus,barack,bill,georg,amerika,senat,senator,weiss,bundesstaat,amerikas,obamas,reprasentantenhaus,wahlkampf,konservativ,hillary,gouverneur,vereinigt,mccain,kerry,romney,gor,mehrheit,novemb,kandidat,mitt,vizeprasident,florida,amtszeit,reagan,kaliforni,vorwahl,prasidentschaftskandidat,berat,national,aussenpolit,nation,stimm,kennedy,red,prasidentschaft,dol,lewinsky,starr,wahl,schwarz,texas,kampf,gegn,cart,anhor,party,aussenministerin,bid,schwarzenegg,post,gingrich,bob,unterstutz,botschaft,oberst,ex,edward,ind,ohio,cheney,virginia,tatsach,administration,kongresswahl,abgeordnet,kongressabgeordnet,iowa,tea,gesundheitsreform,einflussreich,debatt,arizona,court,freund,affar,suprem,glaub,prasidentschaftswahl,beginn,nixon,nominier,inzwisch,roosevelt,stat,dick,umfrag,kampagn,verbundet
 ,0.053,0.045,0.043,0.039,0.036,0.03,0.023,0.021,0.018,0.017,0.016,0.015,0.014,0.013,0.013,0.01,0.01,0.009,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic15,blick,press,fehl,schreibt,verantwort,vertrau,kommentiert,meint,falsch,allgemein,gemacht,tageszeit,nachricht,glaubwurd,konsequenz,richtig,gefahr,wirklich,verhalt,blatt,daran,schwer,befasst,niemand,tun,versag,zieh,schad,zeigt,schlecht,eindruck,bleibt,skandal,gezog,aug,versuch,la,verlor,bemerkt,wort,offensicht,scheint,angesicht,zweifel,vollig,tim,anseh,zeig,wed,handeln,beweis,schlimm,gegenub,darf,geword,getan,versagt,einzig,the,wahr,erklar,desast,entschuld,genug,wahrheit,uberzeug,folg,peinlich,selb,tatsach,glaub,gezeigt,versaumnis,interess,verstand,sach,gewiss,roll,wiss,fuhr,gest,trag,reaktion,leid,rundschau,umgang,erschein,person,situation,blind,misstrau,nehm,nie,anzeig,gescheh,warum,hand,schuldig,pflicht,gefuhrt
 ,0.043,0.037,0.028,0.025,0.024,0.019,0.016,0.015,0.011,0.009,0.008,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic16,mitarbeit,start,firm,firma,ide,berat,kund,schnell,gerad,up,manag,digital,branch,ups,team,technologi,digitalisier,arbeitet,valley,it,entwickelt,tech,unternehmensberat,zukunft,business,erfolgreich,gegrundet,silicon,beispiel,inzwisch,projekt,erfolg,buro,management,innovation,how,know,job,best,oft,entwickl,high,erfahr,konzern,geschaftsmodell,entwickeln,zusamm,produkt,etabliert,technik,beschaftigt,braucht,fuhrungskraft,partn,buros,konkurrenz,schaff,innovativ,selbstand,kreativ,helf,dienstleist,intelligenz,vision,grundet,wandel,kunstlich,klassisch,investi,kontakt,brauch,netzwerk,erfind,glaubt,such,lern,mckinsey,einfach,wachs,leut,investiert,and,grundung,consulting,ding,angestellt,mittlerweil,art,investor,statt,abteil,revolution,chanc,kolleg,sitz,bring,jahrig,verand,haufig,konzept
 ,0.023,0.022,0.018,0.016,0.014,0.011,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic17,fordert,warnt,kundigt,forder,kritisiert,erneut,sollt,davor,verlangt,donnerstag,gefordert,sprach,gewarnt,droht,aufgefordert,zugleich,lehnt,betont,erklar,angesicht,wies,unterdess,massnahm,vorgeh,scharf,ford,nannt,sofort,aussert,woll,appelliert,zuvor,verantwort,bekraftigt,bezeichnet,warf,ap,angekundigt,hart,droh,konsequenz,seit,appell,unterstutz,reagiert,wochen,warnung,verscharft,gefahrd,ausgesproch,hiess,ansicht,rasch,gefahrdet,warn,afp,fuhr,eindring,trotz,gedroht,verwi,reaktion,verzicht,verhind,treff,notwend,handeln,beend,stopp,schloss,verstarkt,verscharf,aufgeruf,ausserd,umgeh,pladiert,nachdruck,besorgt,situation,schlug,wandt,wiederholt,zuruckhalt,andernfall,abgelehnt,begrusst,einstell,befurchtet,drohung,ankund,einzusetz,aufruf,berat,ultimatum,fuhrend,raumt,entschloss,verteidigt,ergreif,drohend
 ,0.071,0.044,0.022,0.021,0.02,0.02,0.019,0.018,0.018,0.014,0.014,0.014,0.013,0.012,0.012,0.012,0.012,0.012,0.011,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic18,lufthansa,fluggesellschaft,flughaf,air,airlin,frankfurt,flug,flugzeug,pilot,passagi,maschin,flieg,airways,franc,british,ryanair,start,gesellschaft,streck,fluglini,united,klm,fraport,ba,bord,alitalia,luftverkehr,delta,cockpit,ltu,fluggast,eurowing,konkurrent,airport,swissair,american,fliegt,jet,flott,luftfahrt,billigflieg,swiss,easyjet,flugverkehr,verbind,star,anbiet,verlust,austrian,bislang,allianc,etihad,sas,angebot,condor,mayrhub,germanwing,wohrl,flugsicher,konkurrenz,flugbegleit,ziel,billig,cargo,sitz,kapazitat,drehkreuz,iberia,ticket,landung,wettbewerb,dba,vc,kost,spohr,terminal,langstreck,zusatz,express,luftraum,verspat,geflog,bend,bod,absturz,verkehr,desweg,class,flog,flugbetrieb,main,hunold,landebahn,innerdeutsch,ufo,aua,heathrow,septemb,tocht,flughafenbetreib
 ,0.054,0.036,0.035,0.031,0.025,0.023,0.022,0.02,0.017,0.015,0.013,0.01,0.01,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic19,streit,konflikt,interess,roll,spiel,hart,position,gegenub,auseinandersetz,gegn,kampf,druck,droht,einfluss,kompromiss,versuch,lini,off,versucht,verhaltnis,ton,haltung,debatt,thema,darub,front,setz,zeigt,strategi,verhind,spielt,sach,drohung,darum,argument,heftig,gegenseit,nehm,innenpolit,mocht,konfrontation,gemeinsam,auss,red,wiederum,vermeid,ring,sicht,scheint,find,machtkampf,miteinand,kur,misstrau,akzepti,wort,verstand,unterschied,darf,fuhr,fuhl,such,tisch,erbittert,durchsetz,gerat,meinung,seh,daran,kons,signal,ausgetrag,arg,wunsch,gefuhrt,zerstritt,eskaliert,wed,zeig,los,schwach,zugestandnis,glaubwurd,befurwort,bruch,gewicht,stimmung,sinn,sucht,furcht,herrscht,umgang,rucksicht,eindruck,vernunft,taktisch,entschied,nutz,gegeneinand,entschloss
 ,0.039,0.023,0.014,0.012,0.012,0.01,0.009,0.009,0.009,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic20,schad,katastroph,gefahr,betroff,folg,schwer,wass,hilf,helf,zerstort,schnell,sturm,erdbeb,schlimm,expert,flut,verursacht,region,behord,ausmass,beschadigt,verheer,zustand,entstand,problem,well,ursach,ungluck,tausend,gefahrdet,stund,feu,verantwort,ereignis,hundert,gebiet,fehl,befurchtet,warnt,unfall,durr,gerat,gegeb,hochwass,ausgelost,ausfall,sorg,grad,droht,feuerwehr,technisch,hurrikan,hoch,dramat,beb,verhind,vollig,verlass,mangel,riss,befurcht,warnung,bevolker,situation,wahrschein,mindest,naturkatastroph,tsunami,extrem,getroff,gekomm,sofort,zerstor,genau,schatzung,blieb,bislang,inzwisch,dau,angerichtet,vermut,katastrophal,gering,damm,zunach,uberschwemm,gesamt,genug,gezog,fluss,gebracht,pann,risiko,auswirk,defekt,sollt,zahlreich,auslos,schutz,unmittelbar
 ,0.031,0.019,0.016,0.016,0.015,0.014,0.011,0.009,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic21,afrika,afrikan,sudafrika,un,sudan,kampf,sudafrikan,mugab,simbabw,somalia,nation,nigeria,hilf,nord,vereint,kenia,hauptstadt,sud,entwicklungshilf,nairobi,kontinent,athiopi,darfur,afrikas,mandela,sudanes,region,anc,hung,mali,organisation,hilfsorganisation,sudafrikas,johannesburg,bevolker,khartum,gewalt,unicef,nigerian,mogadischu,kapstadt,helf,westafrikan,weiss,sierra,unterstutz,konflikt,krieg,liberia,leon,au,leb,kenian,somal,apartheid,nelson,ausland,schwarz,wieczorek,zuma,zeul,sudlich,burgerkrieg,elfenbeinkust,unabhang,sudsudan,uganda,union,bekampf,armut,nig,diamant,bislang,mbeki,ghana,tschad,eritrea,min,angola,nigerias,fried,nachbarland,humanitar,athiop,staatschef,baschir,weltweit,rand,miliz,farm,entwicklungspolit,west,beobacht,vertrieb,gebiet,boko,aid,haram,addis,tsvangirai
 ,0.026,0.022,0.015,0.01,0.01,0.01,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic22,bay,bayer,csu,stoib,munchn,bayern,ministerprasident,augsburg,strauss,rag,freistaat,bayernlb,beckstein,formel,alp,sod,eccleston,sz,adria,suddeutsch,damal,staatsregier,hypo,landtag,bergbau,regensburg,gemacht,bleib,zech,gribkowsky,wurzburg,passau,bundesland,bundesweit,wiesheu,gehort,wirtschaftsminist,faltlhaus,gauweil,zustand,freien,gluck,zusamm,staatskanzlei,kolleg,stamm,offenbar,inzwisch,sud,steinkohl,ging,herb,gegeb,landesbank,ebenfall,lieg,zukunft,oberbay,neb,fest,bring,landkreis,gekomm,lfa,gefuhrt,laut,gesprach,finanzminist,stoik,bergleut,oktoberf,berni,nehm,kreis,heutig,zwick,osterreich,hausl,darub,ubrig,vorstand,merk,gebracht,nas,vertret,woll,danach,sach,trotz,maxhutt,schwer,landshut,auss,ude,kumpel,oberpfalz,zuvor,fuhr,gesamt,ebenso
 ,0.082,0.081,0.058,0.035,0.033,0.019,0.016,0.013,0.011,0.01,0.01,0.009,0.009,0.008,0.008,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic23,ukrain,kiew,region,rumani,thailand,ost,krim,separatist,ruman,unabhang,janukowitsch,west,bangkok,fuhrung,konflikt,bukar,timoschenko,juschtschenko,seit,kampf,korruption,offenbar,unterstutz,gebiet,ostukrain,donezk,druck,poroschenko,grenz,medi,schwer,kutschma,kris,fuhr,revolution,thaksin,ehemal,premi,gehort,westlich,orang,parlament,zuvor,trotz,regierungschef,bevolker,vertret,nachd,unterstutzt,massiv,offiziell,schritt,sprach,setzt,damal,beobacht,gemacht,fuhrt,versuch,besetzt,gekomm,nah,gefuhrt,halbinsel,oberst,kontroll,gebracht,hauptstadt,osz,sanktion,staatlich,angeb,donnerstag,petro,ex,versucht,ebenfall,liess,laut,proruss,stellt,zuletzt,woll,basescu,zufolg,opposition,sowohl,wahl,wiederholt,ausland,seh,mocht,hingeg,zentral,mai,fordert,moldawi,februar,regierungschefin,annexion
 ,0.076,0.021,0.017,0.013,0.01,0.01,0.01,0.009,0.009,0.008,0.008,0.007,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic24,entwickl,ziel,zukunft,strategi,bereich,struktur,wettbewerb,roll,beispiel,langfrist,aufgab,konzept,bedeut,global,erfolg,zentral,einzeln,zunehm,schnell,chanc,herausforder,erfolgreich,unterschied,notwend,einheit,wesent,beispielsweis,nachhalt,verander,entwickeln,breit,entwickelt,thema,effizient,nutz,regional,schaff,qualitat,verschied,setz,besteh,verantwort,gestalt,gleichzeit,kompetenz,modern,voraussetz,vorteil,eben,umsetz,aufbau,verandert,basis,region,innovation,wandel,erreich,ansatz,spiel,biet,konzentri,gesellschaft,technisch,entsteh,losung,prozess,best,flexibl,ausgerichtet,national,verbess,verbund,gesamt,konsequent,vorhand,system,strateg,vielfalt,instrument,traditionell,rahm,dadurch,sinnvoll,innerhalb,richtig,rahmenbeding,aktiv,schwerpunkt,gerad,infrastruktur,spielt,wettbewerbsfah,fortschritt,dah,effizienz,ausricht,geschaff,verstarkt,gebiet,kurzfrist
 ,0.014,0.013,0.013,0.012,0.012,0.009,0.009,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic25,dollar,spani,spanisch,madrid,kostet,uhr,devis,wahrung,eta,yen,sz,kur,gemeinschaftswahr,london,gold,feinunz,gegenub,handl,leicht,donnerstag,notiert,fiel,vortag,nachmittag,frankfurt,barcelona,baskisch,spat,mittag,pfund,rajoy,nachmittagsfixing,sozialist,gehandelt,pp,aznar,katalan,zapatero,goldpreis,stieg,nachd,bank,schwach,je,fest,kataloni,mark,devisenmarkt,abend,konservativ,jos,lira,handel,stand,baskenland,referenzkur,zog,erholt,zeitweis,psoe,frank,tief,vorab,gefall,wert,festgestellt,legt,fixing,referenzpreis,gonzalez,el,mariano,ews,verlor,erneut,volkspartei,hoch,setzt,franco,gefixt,ministerprasident,druck,kurs,bewegt,erreicht,erwartet,sterling,greenback,belastet,britisch,konjunkturdat,mittelkur,felip,nationalist,separatist,tendiert,puigdemont,spekulation,knapp,vergleich
 ,0.081,0.05,0.043,0.032,0.018,0.016,0.015,0.013,0.013,0.012,0.012,0.011,0.011,0.01,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
